ID,SMILES,ExperimentResult
86,CCOC(=O)\C=C\1/C[C@@](N1S(=O)(=O)c2ccc(C)cc2)(C(=O)OCC)c3ccccc3C,1
87,CC1(C)C(Br)C[C@H]2O[C@@]2(C)[C@]13CC(Br)C(C)(Cl)CC3O,1
88,Cc1cc(O)c(cc1Br)[C@]2(C)CC[C@@H]3C[C@]23C,1
89,C[C@]1(Cl)CC2O[C@@]3(Br)[C@H](O)[C@H]4O[C@@]4(C)[C@]2(C[C@@H]1Br)C3(C)C,1
90,C[C@]1(Cl)CC2O[C@@]3(C)C=C[C@@](C)(O)[C@]2(C[C@@H]1Br)C3(C)C,1
91,CC1=C[C@H](O)C(Br)C(C)(C)[C@]12CCC(C)(Cl)C(Br)C2,1
92,CC1(Cl)CC[C@@]2(CC1Br)C(C)(C)C(=C[C@H]3O[C@@]23C)Br,1
93,C/C1=C\CC(C)(C)/C=C/C/C(C)=C/CC1,1
94,C/C1=C\CC(C)(C)/C=C/CC2(C)C(O2)CC1,1
95,CC12C(O2)CC(C)(C)/C=C/C/C(C)=C/CC1,1
96,C/C1=C\CC(C)(C)C(O2)C2C/C(C)=C/CC1,1
97,CC12C(O2)CC(C)(C)/C=C/CC(C)(O3)C3CC1,1
98,CC12C(O2)CC(C)(C)C(O3)C3CC(C)(O4)C4CC1,1
99,CC1(C)C/C=C(C)/CC/C=C(C=O)/C/C=C/1,1
100,CC1(C)/C=C/C/C(C=O)=C\CC/C(C=O)=C\C1,1
101,CC[C@@H](O1)[C@@H](Br)C[C@]1([H])[C@@]2([H])O[C@@H](C/C=C\C#C)[C@H](Br)C2,1
102,CC[C@@H](O1)[C@@H](Br)C[C@]1([H])[C@@]2([H])O[C@@H](C/C=C\C3=CN(CC(NC4=CC=CC=C4)=O)N=N3)[C@H](Br)C2,1
103,BrC1=C[C@]([H])(OC)[C@](O2)(C)[C@]3(C[C@]2([H])[C@](Cl)(C)CC3)C1(C)C,1
104,BrC1=C[C@@]([H])(OC)[C@](O2)(C)[C@]3(C[C@]2([H])[C@](Cl)(C)CC3)C1(C)C,1
105,O=C(C(O)=C1)C2=CC=CC3=CC=CC1=C32,1
106,O=C(C(C1=CC=CC=C1)=C2)C3=CC=CC4=CC=CC2=C43,1
107,C[C@@H](CC1)[C@@]2([H])[C@]1([H])[C@@]3(C)[C@]2([H])[C@@H](C(C)=C)CC3,1
108,O=C(C)C1=CC=CC=C1,1
110,N#CCC1=CC=CC=C1,1
111,C12=CC=CC=C1C=CC=C2,1
112,C12=CC=CC=C1C=C3C(C=CC=C3)=C2,1
113,C1(/C=C/C2=CC=CC=C2)=CC=CC=C1,2
114,OC1=C(OC)C=C(C=O)C=C1,2
115,[N-]=[N+]=NC1=CC=C(C(F)(F)F)C=C1,2
116,C[C@@](O1)(OO2)CC[C@]3([H])[C@]2([C@]1([H])O4)[C@](CC[C@H]3C)([H])[C@@H](C)C4=O,2
117,CN1C=NC([N+]([O-])=O)=C1C(F)(F)F,1
118,CN1C=NC(C(F)(F)F)=C1C(OC)=O,1
119,CN1C(C(F)(F)F)=C([N+]([O-])=O)C=C1C(OC)=O,1
120,CC1=CC[C@H](C(C)=C)CC1,1
121,CC1=CC[C@@H]2C(C)(C)[C@H]1C2,2
122,C[C@H]1C[C@@H](O)[C@H](C(C)C)CC1,2
123,C[C@H](CC[C@H]1C(C)C)CC1=O,1
124,C[C@H]1C[C@H](O)[C@H](C(C)C)CC1,1
125,C[C@H](CC[C@@H]1C(C)C)CC1=O,1
127,C[C@H]1CC2=C(C(C)=CO2)CC1,1
128,C[C@@]12CC[C@H](C(C)(C)O2)CC1,1
130,CC#[N][Pd]1(Br)C2=CC=CC3=C2C([N]1=CC=C4)=C4C5=CC=CC=C53,1
131,BrC1=CC=CC2=C1C(N=CC=C3)=C3C4=C2C=CC=C4,1
132,COC(C=C1)=CC=C1C2COC3=CC(OC)=CC=C3C2=O,2
133,OC(C=C1)=CC=C1C2COC3=CC(O)=CC=C3C2=O,0
134,O=C1C=CC2(C)C(C(OC(C3C)=O)C3CC2)=C1C,2
135,O=C1C(N(C)C)=C(C)N(C)N1C2=CC=CC=C2,2
136,NC1=C(S(=O)(CC)=O)C=C(C(NCC2N(CC)CCC2)=O)C(OC)=C1,2
140,O=C1C2=C(N=CC=C2)N(C3CC3)C4=C(C(C)=CC=N4)N1,2
143,Cc1ccc(cc1Nc2nccc(n2)c3cccnc3)NC(=O)c4ccc(cc4)CN5CCN(CC5)C,0
144,O=C1N(/N=C\N1c2ccc(cc2)N7CCN(c6ccc(OCC3C[C@@](OC3)(c4ccc(F)cc4F)Cn5ncnc5)cc6)CC7)[C@@H](CC)[C@@H](O)C,0
145,O=C7OCC=6C(=O)N2C(\c1nc5c(c(c1C2)CC)cc(OC(=O)N4CCC(N3CCCCC3)CC4)cc5)=C/C=6[C@@]7(O)CC,0
146,CCOc2nc1cccc(C(=O)O)c1n2Cc5ccc(c3ccccc3c4nn[nH]n4)cc5,0
147,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](Cc3c2c(c4c(c3O)C(=O)c5cccc(c5C4=O)OC)O)(C(=O)CO)O)N)O,0
148,COc1ccccc1OCCNCC(O)COc3cccc4[nH]c2ccccc2c34,0
149,O2C1(CCC(CC1)C2(C)C)C,2
153,C[C@@]12C(C)(C)[C@@H](CC1=O)CC2,2
155,COc1ccc(C=O)cc1,2
156,C1=CC=CC2=C1C3C(CC2)[C@@H](C(O3)=O)C,1
158,C1=CC=CC2=C1C3C(CC2)C(C(O3)=O)=C,1
159,O=C(O)C1=C(OC(C)=O)C=CC=C1,2
160,O=C(N[C@H](CO)C1)[C@H](C(C)C)SC2=C1C3=CC=CC=C3N2,2
161,O=C1C(C)=C2O[C@]3(C)CCC4C(C)(C)[C@@H](O)CC[C@]4(C)[C@@]3([H])C[C@@]2(C)C(C)=C1C(OC)=O,2
162,C/C([C@@H]1[C@@](CCCC2=C(C)OC(OC)=CC2=O)(O1)C)=C\C3=CC=C([N+]([O-])=O)C=C3,2
163,O[C@H](C1)CC[C@@]2(C)C1=CC[C@]3([H])[C@]2([H])CC[C@@]4([H])[C@@]3([H])C[C@H](O)[C@]4([H])[C@H](C)[C@@H](O)CCC(C)C,2
164,CC1(C)CC[C@]2(C)C[C@@]34[C@@H](C)CC[C@@H](O)[C@]3(C)CC[C@H]4[C@@]21[H],2
165,[H][C@@]1(CO2)[C@](CO[C@@H]1C3=CC(OCO4)=C4C=C3)([H])[C@@H]2C5=CC(OCO6)=C6C=C5,1
166,COC1=C(OC)C=C(OC)C(/C=C\C)=C1,1
168,COC1=C(OC)C=C(OC)C(/C=C/C)=C1,1
171,COC1=CC=C2C(C(CC(O)=O)C(C)N2C(C3=CC=C(Cl)C=C3)=O)=C1,2
172,CC(OC1=CC=CC=C1C(NC2=NC=C([N+]([O-])=O)S2)=O)=O,2
173,CC(C(O)=O)C1=CC=C(CC(C)C)C=C1,2
174,O[C@@H]1CCCC[C@H]1NC2CC2,2
176,CN(C)C1CCCCC1,2
177,NCCC1=CC=CC=C1,2
178,N=C(N(C)C)N(C)C,2
179,N=C(NC1=CC=CC=C1)NC2=CC=CC=C2,2
180,C12=NCCCN1CCCCC2,2
181,<industrial-confidential>,2
182,<industrial-confidential>,2
183,<industrial-confidential>,2
184,<industrial-confidential>,2
185,<industrial-confidential>,2
186,<industrial-confidential>,2
