Model,Descriptor,Fold,Accuracy,Precision,Recall,F1,Params
kNN,Mordred,4,0.5714285714285714,0.5807989862611711,0.5714285714285714,0.5728315524827153,"{""clf__n_neighbors"": 3}"
kNN,Mordred,5,0.6727272727272727,0.7006101741395859,0.6727272727272727,0.6772100942535726,"{""clf__n_neighbors"": 3}"
MLP,Mordred,1,0.5714285714285714,0.6047619047619046,0.5714285714285714,0.5779993815708101,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50, 50]}"
MLP,Mordred,2,0.7678571428571429,0.7690746753246753,0.7678571428571429,0.7681318681318682,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [100, 50]}"
MLP,Mordred,3,0.5178571428571429,0.5174107142857143,0.5178571428571429,0.5167368092900009,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
MLP,Mordred,4,0.5714285714285714,0.5678148976982097,0.5714285714285714,0.5679322179322178,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100, 50]}"
MLP,Mordred,5,0.6909090909090909,0.6987882930466661,0.6909090909090909,0.6924905266368682,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [50]}"
Logistic Regression,Morgan,1,0.625,0.6148242630385488,0.625,0.6150222102571006,"{""clf__C"": 0.01}"
Logistic Regression,Morgan,2,0.6071428571428571,0.5977329192546584,0.6071428571428571,0.5928223562152134,"{""clf__C"": 0.1}"
Logistic Regression,Morgan,3,0.5535714285714286,0.5501190476190476,0.5535714285714286,0.5505380036630036,"{""clf__C"": 10.0}"
Logistic Regression,Morgan,4,0.5357142857142857,0.5170918367346938,0.5357142857142857,0.5196491228070175,"{""clf__C"": 0.1}"
Logistic Regression,Morgan,5,0.5272727272727272,0.5164502164502165,0.5272727272727272,0.5149090909090909,"{""clf__C"": 10.0}"
SVM,Morgan,1,0.6071428571428571,0.6678571428571428,0.6071428571428571,0.5696737028144592,"{""clf__C"": 1, ""clf__gamma"": ""scale""}"
SVM,Morgan,2,0.5892857142857143,0.5863823676323676,0.5892857142857143,0.5777056277056277,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
SVM,Morgan,3,0.5,0.4977388682745826,0.5,0.48121370499419275,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
SVM,Morgan,4,0.5892857142857143,0.5654562828475872,0.5892857142857143,0.565406976744186,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
SVM,Morgan,5,0.6181818181818182,0.6131764705882353,0.6181818181818182,0.6131946259605834,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
Random Forest,Morgan,1,0.6428571428571429,0.6371330110991764,0.6428571428571429,0.6254267744833781,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
Random Forest,Morgan,2,0.5892857142857143,0.573341836734694,0.5892857142857143,0.5630781580925053,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
Random Forest,Morgan,3,0.5357142857142857,0.5709956709956711,0.5357142857142857,0.5102119080489996,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
Random Forest,Morgan,4,0.6607142857142857,0.6880952380952381,0.6607142857142857,0.6308270676691728,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
Random Forest,Morgan,5,0.5818181818181818,0.5991528185076571,0.5818181818181818,0.5666516204748577,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
kNN,Morgan,1,0.5,0.6398809523809523,0.5,0.4262022046739763,"{""clf__n_neighbors"": 3}"
kNN,Morgan,2,0.44642857142857145,0.6380494505494505,0.44642857142857145,0.336828231292517,"{""clf__n_neighbors"": 5}"
kNN,Morgan,3,0.39285714285714285,0.431547619047619,0.39285714285714285,0.3116883116883117,"{""clf__n_neighbors"": 3}"
kNN,Morgan,4,0.48214285714285715,0.5464285714285714,0.48214285714285715,0.39928954886774487,"{""clf__n_neighbors"": 3}"
kNN,Morgan,5,0.4909090909090909,0.6257575757575757,0.4909090909090909,0.40218614718614715,"{""clf__n_neighbors"": 3}"
MLP,Morgan,1,0.6071428571428571,0.6264962715855573,0.6071428571428571,0.6078924180509643,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100]}"
MLP,Morgan,2,0.6964285714285714,0.7151785714285713,0.6964285714285714,0.7033776301218161,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100]}"
MLP,Morgan,3,0.4642857142857143,0.45555194805194804,0.4642857142857143,0.4582051282051282,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100, 50]}"
MLP,Morgan,4,0.6071428571428571,0.613265306122449,0.6071428571428571,0.6098923129797227,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100]}"
MLP,Morgan,5,0.6,0.617922077922078,0.6,0.5996304157626501,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
Logistic Regression,Avalon,1,0.6607142857142857,0.690037938252224,0.6607142857142857,0.6606642657062824,"{""clf__C"": 0.1}"
Logistic Regression,Avalon,2,0.6428571428571429,0.6373202690166977,0.6428571428571429,0.6376481762917933,"{""clf__C"": 0.01}"
Logistic Regression,Avalon,3,0.5357142857142857,0.5297213203463204,0.5357142857142857,0.529400499172165,"{""clf__C"": 0.1}"
Logistic Regression,Avalon,4,0.625,0.6350405546834118,0.625,0.6212622826908542,"{""clf__C"": 0.01}"
Logistic Regression,Avalon,5,0.5636363636363636,0.5678210678210678,0.5636363636363636,0.5579643323183994,"{""clf__C"": 0.01}"
SVM,Avalon,1,0.6071428571428571,0.6299759903961585,0.6071428571428571,0.6093399859943978,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
SVM,Avalon,2,0.6785714285714286,0.7006118881118881,0.6785714285714286,0.6728715728715728,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
SVM,Avalon,3,0.5357142857142857,0.5405844155844156,0.5357142857142857,0.5359756097560976,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
SVM,Avalon,4,0.7142857142857143,0.7349028286528286,0.7142857142857143,0.7094266277939747,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
SVM,Avalon,5,0.6363636363636364,0.6347113670643083,0.6363636363636364,0.631913185913186,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
Random Forest,Avalon,1,0.6071428571428571,0.6355042016806723,0.6071428571428571,0.6166666666666666,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
Random Forest,Avalon,2,0.5714285714285714,0.5952380952380951,0.5714285714285714,0.5605654761904763,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
Random Forest,Avalon,3,0.5535714285714286,0.5534782608695652,0.5535714285714286,0.5443529684601113,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
Random Forest,Avalon,4,0.6785714285714286,0.6802721088435374,0.6785714285714286,0.6598141695702672,"{""clf__max_depth"": 10, ""clf__n_estimators"": 200}"
Random Forest,Avalon,5,0.5818181818181818,0.5788764841396421,0.5818181818181818,0.573790711453049,"{""clf__max_depth"": 10, ""clf__n_estimators"": 200}"
kNN,Avalon,1,0.48214285714285715,0.5350765306122449,0.48214285714285715,0.5001932591218305,"{""clf__n_neighbors"": 3}"
kNN,Avalon,2,0.5714285714285714,0.5701233290519004,0.5714285714285714,0.5689627107310035,"{""clf__n_neighbors"": 7}"
kNN,Avalon,3,0.5357142857142857,0.5450495415557528,0.5357142857142857,0.5377509395366539,"{""clf__n_neighbors"": 7}"
kNN,Avalon,4,0.5892857142857143,0.5986887508626639,0.5892857142857143,0.5880385487528345,"{""clf__n_neighbors"": 3}"
kNN,Avalon,5,0.5272727272727272,0.5335664335664336,0.5272727272727272,0.5262626262626263,"{""clf__n_neighbors"": 3}"
MLP,Avalon,1,0.6428571428571429,0.6865108575634891,0.6428571428571429,0.6397029001692844,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
MLP,Avalon,2,0.6785714285714286,0.6779503105590062,0.6785714285714286,0.6726190476190476,"{""clf__alpha"": 0.001, ""clf__hidden_layer_sizes"": [50, 50]}"
MLP,Avalon,3,0.5535714285714286,0.5911062621588937,0.5535714285714286,0.5641609977324263,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
MLP,Avalon,4,0.625,0.6199633699633699,0.625,0.619222334682861,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [50]}"
MLP,Avalon,5,0.5636363636363636,0.5543264815992088,0.5636363636363636,0.5559808612440191,"{""clf__alpha"": 0.0001, ""clf__hidden_layer_sizes"": [100, 50]}"
Logistic Regression,MACCS,1,0.6607142857142857,0.6660119047619047,0.6607142857142857,0.6594742063492064,"{""clf__C"": 0.1}"
Logistic Regression,MACCS,2,0.6607142857142857,0.681795634920635,0.6607142857142857,0.6608948432760364,"{""clf__C"": 0.1}"
Logistic Regression,MACCS,3,0.5714285714285714,0.5861761083743843,0.5714285714285714,0.559981684981685,"{""clf__C"": 0.1}"
Logistic Regression,MACCS,4,0.6785714285714286,0.6818181818181818,0.6785714285714286,0.6741936473837656,"{""clf__C"": 0.1}"
Logistic Regression,MACCS,5,0.5818181818181818,0.5802641802641803,0.5818181818181818,0.5756198347107438,"{""clf__C"": 0.1}"
SVM,MACCS,1,0.6785714285714286,0.6354591836734693,0.6785714285714286,0.6383830415123558,"{""clf__C"": 1, ""clf__gamma"": ""scale""}"
SVM,MACCS,2,0.6607142857142857,0.6713620230700975,0.6607142857142857,0.6625814661528947,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
SVM,MACCS,3,0.5535714285714286,0.5979833743842364,0.5535714285714286,0.5255788485607009,"{""clf__C"": 10, ""clf__gamma"": ""scale""}"
SVM,MACCS,4,0.7857142857142857,0.7859663865546219,0.7857142857142857,0.7828801445822722,"{""clf__C"": 10, ""clf__gamma"": ""auto""}"
SVM,MACCS,5,0.6,0.6017945690672963,0.6,0.5772121212121212,"{""clf__C"": 1, ""clf__gamma"": ""auto""}"
Random Forest,MACCS,1,0.6607142857142857,0.6728571428571428,0.6607142857142857,0.662733843537415,"{""clf__max_depth"": null, ""clf__n_estimators"": 200}"
Random Forest,MACCS,2,0.6428571428571429,0.650987554112554,0.6428571428571429,0.6415520671164158,"{""clf__max_depth"": 10, ""clf__n_estimators"": 100}"
Random Forest,MACCS,3,0.625,0.6380857898715042,0.625,0.6181493506493506,"{""clf__max_depth"": null, ""clf__n_estimators"": 100}"
