Model,Descriptor,True_Class,Predicted_Class,Count
SVM,Morgan,1,2,28
SVM,Morgan,2,0,15
SVM,Morgan,2,1,35
SVM,Morgan,2,2,55
SVM,RDKit,0,0,29
SVM,RDKit,0,1,24
SVM,RDKit,0,2,17
SVM,RDKit,1,0,8
SVM,RDKit,1,1,97
SVM,RDKit,1,2,20
SVM,RDKit,2,0,18
SVM,RDKit,2,1,27
SVM,RDKit,2,2,60
kNN,Avalon,0,0,27
kNN,Avalon,0,1,22
kNN,Avalon,0,2,21
kNN,Avalon,1,0,26
kNN,Avalon,1,1,82
kNN,Avalon,1,2,17
kNN,Avalon,2,0,26
kNN,Avalon,2,1,27
kNN,Avalon,2,2,52
kNN,MACCS,0,0,14
kNN,MACCS,0,1,35
kNN,MACCS,0,2,21
kNN,MACCS,1,0,15
kNN,MACCS,1,1,86
kNN,MACCS,1,2,24
kNN,MACCS,2,0,14
kNN,MACCS,2,1,40
kNN,MACCS,2,2,51
kNN,Mordred,0,0,37
kNN,Mordred,0,1,9
kNN,Mordred,0,2,24
kNN,Mordred,1,0,23
kNN,Mordred,1,1,78
kNN,Mordred,1,2,24
kNN,Mordred,2,0,17
kNN,Mordred,2,1,21
kNN,Mordred,2,2,67
kNN,Morgan,0,0,11
kNN,Morgan,0,1,53
kNN,Morgan,0,2,6
kNN,Morgan,1,0,10
kNN,Morgan,1,1,111
kNN,Morgan,1,2,4
kNN,Morgan,2,0,11
kNN,Morgan,2,1,73
kNN,Morgan,2,2,21
kNN,RDKit,0,0,27
kNN,RDKit,0,1,22
kNN,RDKit,0,2,21
kNN,RDKit,1,0,24
kNN,RDKit,1,1,84
kNN,RDKit,1,2,17
kNN,RDKit,2,0,15
kNN,RDKit,2,1,24
kNN,RDKit,2,2,66
