Feature,Importance
qed,0.02538787664767235
SlogP_VSA2,0.019666728768320162
Kappa3,0.018556401997510675
Phi,0.01767846157608126
Kappa2,0.015915441702543522
MinEStateIndex,0.015899582047461128
TPSA,0.014964922866241175
BertzCT,0.014738123702232802
MaxAbsPartialCharge,0.013934320910314976
BalabanJ,0.013454145507674993
Chi1,0.013226480218252705
MaxPartialCharge,0.012836859189569807
NumRotatableBonds,0.01279581268427083
FpDensityMorgan2,0.012754373139313262
MaxAbsEStateIndex,0.012463341767899172
MaxEStateIndex,0.012447409042523398
Ipc,0.012429272988367643
MinAbsPartialCharge,0.012063912793492481
MinPartialCharge,0.012007659882485143
NumHDonors,0.011785550777824906
BCUT2D_MWHI,0.01177687343231222
BCUT2D_LOGPLOW,0.011404743822021899
EState_VSA10,0.011327018491169898
FpDensityMorgan1,0.011031509465987644
HallKierAlpha,0.010875297561913903
FpDensityMorgan3,0.010826433449417146
PEOE_VSA1,0.010784684606484797
VSA_EState3,0.009961658395575798
BCUT2D_MRHI,0.009806355789925355
BCUT2D_MWLOW,0.009773838822740417
EState_VSA4,0.009771247648469771
BCUT2D_LOGPHI,0.009744077134117167
NOCount,0.009605035037710551
Chi0n,0.009500583862707102
MolLogP,0.009197835829017027
EState_VSA8,0.00912394663237417
MinAbsEStateIndex,0.009062645328011838
BCUT2D_MRLOW,0.008994973953990733
BCUT2D_CHGLO,0.008976018070541707
PEOE_VSA9,0.008729975174040982
Chi1n,0.00872256165924187
VSA_EState4,0.00868589004293911
AvgIpc,0.008640401106253566
MolWt,0.00863996162110917
VSA_EState2,0.008638571040182867
NHOHCount,0.008579304971674093
Kappa1,0.008546017605532965
PEOE_VSA8,0.00842602640873156
FractionCSP3,0.008382067258411126
MolMR,0.008342822675407847
VSA_EState5,0.008308242131919764
Chi0,0.008267427677474485
HeavyAtomMolWt,0.008128641045388232
PEOE_VSA7,0.008072628546631579
ExactMolWt,0.008051448153507081
LabuteASA,0.008023240924924568
Chi4n,0.008005295362664594
SlogP_VSA1,0.00791411197615663
VSA_EState7,0.007886261398340639
BCUT2D_CHGHI,0.007694771213418176
Chi3n,0.007642654325480276
VSA_EState8,0.007642309810560017
Chi1v,0.007512330237483245
EState_VSA5,0.007508943935638375
HeavyAtomCount,0.007452908452634391
Chi0v,0.007283669537734708
EState_VSA7,0.007219586398797454
SlogP_VSA5,0.007194492333909432
SPS,0.007182285062739661
SMR_VSA7,0.007153440425822525
SlogP_VSA6,0.007029315344144445
Chi4v,0.0070201548918297375
PEOE_VSA6,0.006967279226445587
EState_VSA2,0.006953674263791567
SMR_VSA6,0.006953596953205173
NumHeteroatoms,0.006891938085323513
VSA_EState6,0.006854883068105726
SMR_VSA1,0.006775908262566116
NumValenceElectrons,0.006698971851481146
EState_VSA3,0.006606000423865623
Chi3v,0.0065782806961719046
Chi2n,0.006569169613382625
SlogP_VSA4,0.005626797768387937
SMR_VSA5,0.005592888097006946
Chi2v,0.005575591024349102
SMR_VSA4,0.005323429845733874
EState_VSA1,0.00527865550607977
VSA_EState1,0.005240682401384777
RingCount,0.005155268796384215
SMR_VSA10,0.005057643507813503
NumHAcceptors,0.004709305944166894
PEOE_VSA10,0.004442774742046967
EState_VSA9,0.004434612189193239
SlogP_VSA3,0.004427290589335751
PEOE_VSA2,0.004254408536264264
EState_VSA6,0.004043954670301711
VSA_EState9,0.003926481708998171
SMR_VSA3,0.0036144864934562304
NumAtomStereoCenters,0.0036070849309770637
NumAliphaticRings,0.003103365780637768
SlogP_VSA12,0.002986663723686729
NumSaturatedRings,0.0029269654403309246
PEOE_VSA12,0.0027889997353045025
PEOE_VSA11,0.0027796316114579466
SlogP_VSA8,0.0027763315307725244
PEOE_VSA14,0.0027217642011905306
fr_NH1,0.002668978545530662
fr_benzene,0.0026417719758367593
SMR_VSA9,0.0026232089907369084
fr_bicyclic,0.0026084220956826146
NumAromaticRings,0.002597536289835488
NumSaturatedCarbocycles,0.002483258060806128
NumAromaticCarbocycles,0.002444487708923521
fr_ether,0.002404843296093061
NumSaturatedHeterocycles,0.002250857392639819
fr_allylic_oxid,0.0021558946829761173
fr_aniline,0.0021023325732376663
fr_piperzine,0.002005784745236663
fr_C_O,0.001989630678022337
VSA_EState10,0.0019499464716115145
NumAliphaticCarbocycles,0.001943851920202081
NumAliphaticHeterocycles,0.0019354429167592784
SlogP_VSA10,0.0018974524771459029
SlogP_VSA11,0.001817569246946105
NumAmideBonds,0.0017326325588143882
fr_NH0,0.0017271677456098787
fr_aryl_methyl,0.0017119955900039535
fr_Al_OH,0.0016874066503679529
fr_Al_OH_noTert,0.0016435690931003422
PEOE_VSA3,0.0014754148582510876
