Model,Descriptor,Fold,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Best_Params
kNN,Mordred,2,0.6833333333333333,0.6946163682864449,0.6833333333333333,0.6870082612116444,"{""n_neighbors"": 3}"
kNN,Mordred,3,0.6,0.6102564102564102,0.6,0.5993301812450749,"{""n_neighbors"": 3}"
kNN,Mordred,4,0.6166666666666667,0.6281080031080031,0.6166666666666667,0.6180578286961267,"{""n_neighbors"": 3}"
kNN,Mordred,5,0.6333333333333333,0.6288492063492064,0.6333333333333333,0.6292612127862932,"{""n_neighbors"": 3}"
MLP,Mordred,1,0.5833333333333334,0.5749492900608519,0.5833333333333334,0.5756660168940871,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [50]}"
MLP,Mordred,2,0.6333333333333333,0.629320987654321,0.6333333333333333,0.6301282051282051,"{""alpha"": 0.001, ""hidden_layer_sizes"": [100]}"
MLP,Mordred,3,0.6666666666666666,0.6716107226107225,0.6666666666666666,0.6658843549068649,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}"
MLP,Mordred,4,0.6,0.5784055727554179,0.6,0.573276836158192,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}"
MLP,Mordred,5,0.65,0.6474164724164724,0.65,0.6477264489576391,"{""alpha"": 0.0001, ""hidden_layer_sizes"": [100, 50]}"
Logistic Regression,Morgan,1,0.5166666666666667,0.5209188660801565,0.5166666666666667,0.5046557770394979,"{""C"": 0.01}"
Logistic Regression,Morgan,2,0.5666666666666667,0.5612337294850029,0.5666666666666667,0.5575793650793651,"{""C"": 0.01}"
Logistic Regression,Morgan,3,0.65,0.6824021464646465,0.65,0.6370105713903386,"{""C"": 0.01}"
Logistic Regression,Morgan,4,0.5166666666666667,0.5005401234567901,0.5166666666666667,0.5044165737643999,"{""C"": 0.1}"
Logistic Regression,Morgan,5,0.5666666666666667,0.567188009123493,0.5666666666666667,0.5607802197802199,"{""C"": 0.1}"
SVM,Morgan,1,0.5833333333333334,0.590179012345679,0.5833333333333334,0.5763225904530251,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Morgan,2,0.5166666666666667,0.5083333333333333,0.5166666666666667,0.5033053743398571,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Morgan,3,0.6166666666666667,0.6301269841269842,0.6166666666666667,0.6195652173913044,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Morgan,4,0.5666666666666667,0.5563218390804597,0.5666666666666667,0.5570987654320987,"{""C"": 10, ""gamma"": ""scale""}"
SVM,Morgan,5,0.6,0.613560896319517,0.6,0.5980295597248748,"{""C"": 10, ""gamma"": ""scale""}"
Random Forest,Morgan,1,0.4666666666666667,0.4546464646464647,0.4666666666666667,0.4475049060835436,"{""max_depth"": null, ""n_estimators"": 100}"
Random Forest,Morgan,2,0.5333333333333333,0.5148989898989899,0.5333333333333333,0.5103868797308663,"{""max_depth"": null, ""n_estimators"": 100}"
Random Forest,Morgan,3,0.55,0.5333333333333333,0.55,0.5325396825396825,"{""max_depth"": null, ""n_estimators"": 100}"
Random Forest,Morgan,4,0.55,0.6427083333333333,0.55,0.5151082493467711,"{""max_depth"": 20, ""n_estimators"": 200}"
Random Forest,Morgan,5,0.5666666666666667,0.5704084967320262,0.5666666666666667,0.5436020394102246,"{""max_depth"": 20, ""n_estimators"": 100}"
kNN,Morgan,1,0.4166666666666667,0.4016025641025641,0.4166666666666667,0.3309764309764309,"{""n_neighbors"": 3}"
kNN,Morgan,2,0.5166666666666667,0.6833333333333333,0.5166666666666667,0.44305555555555554,"{""n_neighbors"": 5}"
kNN,Morgan,3,0.5,0.5354166666666667,0.5,0.41652298850574715,"{""n_neighbors"": 3}"
